name,nationality,political_views,religion,notes,profession,description_original,odnb_link
Clergyman Of The Church Of England,,,,,,,
"Cockburn, Patrick (1678-1749)",Scot,whig,episcopalian,,,"Scot, Episcopalian, whig",http://www.oxforddnb.com/view/article/5775?docPos=15
"Cockson, Edward",,,,,,,
"Coke, Roger (1696-NA)",,tory,,,,"Are the years correct?? (MT) Prob. not, but keep them to match data (VV)",http://www.oxforddnb.com/view/article/5829
"Coleman, Edward (1765-1678)",,parliamentarian,catholic,anti-Charles II,,"Catholic, plotting against Charles II",http://www.oxforddnb.com/view/article/5871?docPos=2
"Colliber, Samuel",,,freethinker,,naval historian,"Naval historian, free thinker",http://www.oxforddnb.com/view/article/5912
"Collier, Jeremy (1650-1726)",,,nonjuror,anti-theare,polemist,"anti-theatre polemist, non-jurer",http://www.oxforddnb.com/view/article/5917
"Collins, Arthur (1682-1760)",,whig,,,antiquary,"genealogist, whig",http://www.oxforddnb.com/view/article/5934?docPos=1
"Colson, Nathaniel (1674-NA)",,,,,,,
"Coningsby, Thomas (1656-1729)",,whig,,,,Shaftesburyan whig,http://www.oxforddnb.com/view/article/6076?docPos=5
"Copeland, John",,,,,,,
"Cornell, William",,,,,,,
"Cornwallis, Frederick (1713-1783)",,whig,church of England,,archbishop,"Archbishop, whig",http://www.oxforddnb.com/view/article/6340?docPos=8
"Cosin, John (1594-1672)",,royalist,church of England,anti-calvinist,bishop,"royalist, anti-calvinist bishop",http://www.oxforddnb.com/view/article/6372?docPos=2
"Cotton, John (1679-1731)",,,,,,,http://www.oxforddnb.com/view/article/6425/6418?docPos=20
"Courteville, Raphael (1687-1772)",,whig,,pro-Walpole,,Walpolean whig,http://www.oxforddnb.com/view/article/6460/71227?docPos=2
"Covert, Nicholas",,,,,,,
"Cowley, Abraham (1618-1667)",,royalist,,,,royalist,http://www.oxforddnb.com/view/article/6499?docPos=1
"Cox, Richard (1702-1766)",,whig,,,clergyman,"whig, historian, clergyman",http://www.oxforddnb.com/view/article/6530?docPos=1
"Cox, Thomas (1655-1734)",Irish,,,,,Irish,http://www.oxforddnb.com/view/article/6527/46407?docPos=3
"Craig, Thomas (1538-1608)",Scot,,,union debate,lawyer,"Scot, lawyer, union debate",http://www.oxforddnb.com/view/article/6580?docPos=2
"Craighead, William",,,,,,,
"Crawford, George (1710-NA)",,,,,,,
"Crawfurd, George (1681-1748)",Scot,,,,genealogist,"Scot, genealogist",http://www.oxforddnb.com/view/article/6650?docPos=2
"Cressett, Edward (NA-1755)",,,,,,,
"Crookshank, William (1712-1769)",,,,,,,
"Crookshanks, John (1708-1795)",,,,,naval officer,naval officer,http://www.oxforddnb.com/view/article/6778?docPos=1
