ISSN,ALPVM,LOPVM,LEVIKKI,LEVIKKI_S
0782-5528,01.01.1992,31.12.1992,12258,
0782-5528,01.01.1991,31.12.1991,12122,
0782-5528,01.01.1990,31.12.1990,12325,
0358-6294,01.01.1997,31.12.1997,8869,
0358-6294,01.01.1996,31.12.1996,9020,
0358-6294,01.01.1995,31.12.1995,9420,
0358-6294,01.01.1994,31.12.1994,9554,
0358-6294,01.01.1993,31.12.1993,9970,
0358-6294,01.01.1992,31.12.1992,10727,
0358-6294,01.01.1991,31.12.1991,11097,
0358-6294,01.01.1990,31.12.1990,11051,
0357-0975,01.01.1999,31.12.1999,35191,
0357-0975,01.01.1997,31.12.1998,34485,
0357-0975,01.01.1996,31.12.1996,35431,
0357-0975,01.01.1995,31.12.1995,36149,
0357-0975,01.01.1994,31.12.1994,38399,
0357-0975,01.01.1992,31.12.1993,35032,
0357-0975,01.01.1991,31.12.1991,36022,
0357-0975,01.01.1990,31.12.1990,36183,
fk10270,01.01.1908,31.12.1908,1800,
1457-4500,01.01.1855,,120,
1457-4500,01.01.1854,31.12.1854,226,
1457-4500,01.01.1853,31.12.1853,270,
1457-4500,01.01.1852,31.12.1852,264,
1457-4500,01.01.1851,31.12.1851,389,
1457-4500,01.01.1850,31.12.1850,564,
1457-4500,01.01.1849,31.12.1849,592,
1457-4500,01.01.1848,31.12.1848,647,
1457-4500,01.01.1847,31.12.1847,620,
1457-4500,01.01.1846,31.12.1846,762,
1457-4500,01.01.1845,31.12.1845,1048,
1457-4519,01.01.1863,,561,
1457-4519,01.01.0001,31.12.1862,600,
1457-4527,01.01.1876,,1200,
1457-4527,01.01.1860,31.12.1875,622,
1457-4527,01.01.1859,31.12.1859,608,
1457-4527,01.01.1858,31.12.1858,604,
1457-4527,01.01.1857,31.12.1857,278,
1457-4527,01.01.1853,31.12.1856,400,
1457-4527,03.01.1829,31.12.1852,368,
0356-1631,01.01.1990,31.12.2000,4265,
0356-1623,01.01.1999,31.12.1999,26496,
0356-1623,01.01.1997,31.12.1997,26842,
0356-1623,01.01.1996,31.12.1996,27176,
0356-1623,01.01.1995,31.12.1995,28126,
0356-1623,01.01.1994,31.12.1994,28018,
0356-1623,01.01.1993,31.12.1993,29194,
0356-1623,01.01.1992,31.12.1992,29554,
0356-1623,01.01.1991,31.12.1991,29298,
0356-1623,01.01.1990,31.12.1990,29182,
0782-6419,01.01.1998,31.12.1998,17270,
0782-6419,01.01.1997,31.12.1997,17458,
0782-6419,01.01.1996,31.12.1996,17658,
0782-6419,01.01.1995,31.12.1995,17639,
0782-6419,01.01.1994,31.12.1994,18067,
0782-6419,01.01.1993,31.12.1993,18562,
0782-6419,01.01.1992,31.12.1992,19057,
0782-6419,01.01.1991,31.12.1991,20122,
0782-6419,01.01.1990,31.12.1990,20218,
0782-5560,01.01.1998,31.12.1998,7627,
0782-5560,01.01.1997,31.12.1997,7459,
0782-5560,01.01.1996,31.12.1996,7370,
0782-5560,01.01.1995,31.12.1995,7335,
